tree_id,tree_id2,herbivore_reps,herbivore_average_n,herbivore_stdev_n,herbivore_average_c,herbivore_stdev_c,herbivore_average_ratio,spider_reps,spider_average_n,spider_stdev_n,spider_average_c,spider_stdev_c,spider_average_ratio
AO7,AO7B,3,9.115643183,0.411650922,50.24268214,1.038871437,6.432649694,1,11.06946087,,50.07571793,,5.275537042
AO8,AO8B,3,11.18529714,0.097163085,50.88238196,1.592060563,5.305851567,1,10.76586458,,48.06524605,,5.206528126
AO9,AO9B,1,9.967563922,,50.38379381,,5.894782672,1,9.983958355,,52.24465882,,6.102462204
BB10,BB10B,3,9.398879813,0.263286664,49.333563,1.073645005,6.126644877,3,11.07353892,0.22751166,51.74975376,0.500016081,5.451543401
BB11,BB11B,1,10.51389437,,47.79775283,,5.301635081,1,10.61586038,,49.32879601,,5.418901777
BB12,BB12B,1,9.829208018,,48.20688904,,5.719479942,1,10.71794764,,52.58444569,,5.721522771
BB1,BB1B,1,10.47508377,,50.01286579,,5.567884242,1,10.08292354,,51.99971721,,6.014236051
BB2,BB2B,1,8.192221124,,46.40272504,,6.6055317,1,11.24591637,,47.98534775,,4.975992977
BB3,BB3B,1,7.922075748,,48.6479187,,7.161289581,3,10.60749626,0.512090751,53.30378215,1.512825751,5.864358316
BB4,BB4B,1,8.207028389,,49.54014587,,7.039426959,1,11.34341431,,52.35301971,,5.382250465
BB5,BB5B,1,11.23906803,,50.21375275,,5.21024735,1,10.74608231,,49.385952,,5.359437726
BB6,BB6B,3,11.32328447,0.523977598,51.20785904,0.362484422,5.282058633,1,9.9708395,,53.08624649,,6.208922735
BB7,BB7B,1,10.32292747,,48.53090668,,5.482535982,1,10.0398674,,46.62826157,,5.416106664
BB8,BB8B,1,9.683575497,,53.46272578,,6.438449834,1,12.32142216,,50.72257534,,4.800720476
BB9,BB9B,1,10.17850386,,49.15320881,,5.631627104,1,12.09633944,,49.39080551,,4.761656967
BC10,BC10B,1,11.1900261,,50.47915426,,5.260741139,3,10.52211379,0.153784644,51.25736537,0.423141557,5.681698853
BC11,BC11B,1,9.845539344,,52.37220925,,6.203365124,1,12.34734993,,47.23819025,,4.461546835
BC12,BC12B,3,9.791077516,0.309797185,51.0509963,1.199909814,6.082529375,1,10.48215606,,48.89212792,,5.439441118
BC1,BC1B,1,9.618085943,,46.98899335,,5.69735721,1,9.372461141,,40.35728801,,5.021509485
BC2,BC2B,1,10.14993572,,51.01353455,,5.861220839,1,12.0401222,,47.84340691,,4.634012116
BC3,BC3B,1,8.995114326,,53.07982635,,6.88158958,1,10.36768723,,50.03474808,,5.628022076
BC4,BC4B,1,8.690612793,,51.0493927,,6.850245579,1,10.759902,,50.66631699,,5.491322899
BC5,BC5B,3,9.362428665,0.531171308,47.75775655,1.738106155,5.953507928,3,10.54351457,0.569998363,54.79508209,1.558359212,6.066332069
BC6,BC6B,1,9.560564995,,51.93378448,,6.334792222,1,10.08633995,,49.52420425,,5.72598052
BC7,BC7B,1,9.719601631,,49.90480042,,5.987697058,1,10.07526398,,48.27404022,,5.58757256
BC8,BC8B,1,8.188077081,,48.33218119,,6.883676212,1,11.28591954,,50.48322402,,5.216462555
BC9,BC9B,1,9.84940199,,52.1139819,,6.170357918,1,12.50826215,,51.54798646,,4.805965984
BY10,BY10B,1,11.33603187,,50.3522394,,5.179927651,1,10.90476952,,50.41606277,,5.391609097
BY11,BY11B,1,10.19174313,,54.20028799,,6.201818992,1,9.910125617,,52.56737146,,6.185902402
BY12,BY12B,1,10.69046249,,48.13520466,,5.250882384,3,12.01689113,0.110483123,49.64898162,0.767131081,4.818047612
BY1,BY1B,1,10.0534153,,48.62870407,,5.640856276,1,8.650485039,,52.36780167,,7.059758508
BY2,BY2B,1,10.24839878,,45.69161606,,5.199319004,1,10.72968102,,50.68323517,,5.508628432
BY3,BY3B,1,8.433306694,,36.07846069,,4.989029443,3,12.32877318,0.767308763,50.45762507,2.706328537,4.774579748
BY4,BY4B,1,7.064360142,,45.07918549,,7.44164915,1,10.2769413,,48.86156464,,5.544590232
BY5,BY5B,1,10.35087585,,49.98778534,,5.631871771,1,10.16550541,,50.47744751,,5.790744078
BY6,BY6B,3,9.291707675,0.580930947,48.83229955,1.529464101,6.136847299,1,9.370064735,,50.05646896,,6.229935942
BY7,BY7B,1,10.21665764,,47.15603638,,5.382628609,1,9.456430435,,50.0669899,,6.174335314
BY8,BY8B,1,9.461839415,,51.8706546,,6.393109124,1,10.57869446,,51.72701634,,5.702316474
BY9,BY9B,3,11.65518286,0.449382456,50.30922526,1.974111144,5.034019824,1,10.75164268,,48.24805253,,5.233243314
HS10,HS10B,1,10.88356122,,48.6421725,,5.212041926,1,10.59625381,,49.9739141,,5.499927634
HS11,HS11B,3,9.091789381,0.818780465,57.48695626,2.230697272,7.398219225,1,12.94586212,,55.86474658,,5.032372929
HS12,HS12B,1,12.33904388,,63.82243898,,6.031951622,1,11.7104036,,53.57905941,,5.335672727
HS1,HS1B,1,9.184773282,,55.93798811,,7.102387501,1,9.910452598,,48.93500921,,5.758271627
HS2,HS2B,1,10.18101788,,48.70880127,,5.579331979,1,11.16391754,,50.82607651,,5.30928364
HS3,HS3B,1,10.85909462,,49.55062485,,5.321345775,1,10.94035244,,46.44218826,,4.95048015
HS4,HS4B,3,11.45333131,0.550549246,52.9004364,0.771772614,5.392578494,1,10.40816975,,47.98695374,,5.376687265
HS5,HS5B,1,10.74747382,,51.74950823,,5.615207288,1,11.97572223,,52.54792062,,5.117051438
HS6,HS6B,1,12.54843252,,48.48041038,,4.505497672,1,10.95277838,,50.14168659,,5.338762479
HS7,HS7B,1,11.26731724,,49.82783696,,5.157241561,1,11.73794987,,50.57771871,,5.024963923
HS8,HS8B,1,10.45524004,,52.16408388,,5.818399511,3,11.56634785,0.103361834,50.47454048,1.051000484,5.088754921
HS9,HS9B,1,11.15005153,,48.47144112,,5.069615467,1,11.64430428,,52.92664186,,5.300621031
MW10,MW10B,1,9.595095755,,46.3263895,,5.630475886,1,12.20111234,,57.77786429,,5.522402033
MW11,MW11B,1,12.00805167,,51.86102169,,5.036565452,3,11.8623939,0.901542786,54.65571704,3.993974982,5.373923525
MW12,MW12B,1,9.739565834,,55.59243215,,6.656440262,1,11.99285545,,58.77764203,,5.715517015
MW1,MW1B,1,10.05731773,,51.27178192,,5.945141591,1,9.864388544,,49.7790778,,5.884948115
MW2,MW2B,1,9.890742302,,54.95200729,,6.479188811,1,9.774047966,,54.12137901,,6.457439553
MW3,MW3B,3,11.55615999,0.276564461,46.87393064,0.625476745,4.731652892,1,11.80946166,,47.49601431,,4.690217988
MW4,MW4B,1,9.334521371,,53.69241185,,6.707903716,3,10.84195415,0.5209436,51.44277794,1.659535071,5.546130918
MW5,MW5B,1,10.1103749,,51.24937604,,5.911358308,1,10.53344779,,51.42341216,,5.693198225
MW6,MW6B,1,8.055774267,,47.51097982,,6.877849373,1,11.11952909,,51.96914323,,5.450359179
MW7,MW7B,1,10.25612458,,51.56811503,,5.863594531,1,11.50023868,,49.70670615,,5.0405055
MW8,MW8B,3,9.30999046,0.774452703,55.33111988,1.86126692,6.954151108,1,12.30037863,,55.09395733,,5.223377934
MW9,MW9B,1,10.78771864,,49.93747803,,5.398373843,1,11.27514646,,54.23145567,,5.609123878
SM10,SM10B,3,9.953895508,0.389565804,46.14582126,2.294215935,5.405088602,1,13.64945667,,56.07576124,,4.790995639
SM11,SM11B,1,11.36277707,,49.94852125,,5.126301092,1,12.72837052,,49.91274347,,4.573035727
SM12,SM12B,1,9.905721771,,48.25505354,,5.68097186,1,10.32279971,,49.89262219,,5.636438727
SM1,SM1B,1,10.62825108,,45.42864227,,4.984641323,1,10.32615089,,51.58982849,,5.82628304
SM2,SM2B,1,9.357991219,,48.10120773,,5.994311521,1,11.14865017,,50.25952148,,5.257291078
SM3,SM3B,1,9.712648359,,51.06349022,,6.131105536,1,11.62445452,,50.51038091,,5.067269732
SM4,SM4B,1,9.707125048,,50.54021591,,6.071729711,1,10.76512848,,49.07008985,,5.315738367
SM5,SM5B,1,10.83768782,,50.08486494,,5.389343086,1,11.03541061,,53.63537367,,5.667986082
SM6,SM6B,1,10.65548973,,50.95848437,,5.577107934,1,10.3402914,,49.14430836,,5.542509052
SM7,SM7B,3,9.969854739,0.495619206,47.17356051,0.950545061,5.524390768,3,11.53120462,0.412412937,51.03213117,0.724120708,5.166709612
SM8,SM8B,1,11.47506607,,50.38230383,,5.120221977,1,12.67785102,,49.00792714,,4.508028484
SM9,SM9B,1,9.260063135,,43.71447996,,5.505253609,3,11.24502158,0.593133412,51.22208731,2.666351308,5.312652425
WE10,WE10B,1,9.606898002,,46.70551248,,5.66958047,1,12.45849258,,60.02163937,,5.618343872
WE11,WE11B,3,12.27077415,0.378884261,48.80679746,0.792972067,4.639931138,1,12.20792942,,54.03767132,,5.162030633
WE12,WE12B,1,10.54959429,,53.73479261,,5.939990911,3,10.94936486,0.43645941,52.35810464,1.563871814,5.577969545
WE1,WE1B,1,8.803438146,,44.76405443,,5.929841151,1,9.968340754,,50.13165252,,5.864825666
WE2,WE2B,1,9.444809914,,50.59381485,,6.246980741,1,11.19331499,,48.92561228,,5.097338861
WE3,WE3B,1,11.47123674,,48.6219215,,4.942968431,3,11.50601535,0.205200891,49.58037383,1.446053614,5.025566801
WE4,WE4B,3,9.719781772,0.118786231,54.00227782,1.953204435,6.4785356,1,10.72369277,,43.74117445,,4.756768746
WE5,WE5B,1,9.745838552,,44.60357561,,5.337236213,1,11.73736261,,48.62537648,,4.831237824
WE6,WE6B,1,9.589523971,,46.91178921,,5.704937748,1,10.49725372,,53.46981191,,5.940170677
WE7,WE7B,1,7.61567975,,48.62619465,,7.446077855,1,10.67433417,,51.53737606,,5.630506578
WE8,WE8B,1,8.349671555,,48.01784521,,6.70655108,1,10.54659936,,49.3457274,,5.456360654
WE9,WE9B,1,12.76948903,,54.89088794,,5.012942216,1,11.79298779,,53.3188263,,5.27257412
WH10,WH10B,1,10.85396638,,55.17893519,,5.928581646,3,12.64141302,2.141212456,53.80874081,1.925191152,5.046174487
WH11,WH11B,1,10.22035984,,53.45915824,,6.099888424,1,11.92841989,,55.66336336,,5.441924193
WH12,WH12B,1,8.296560687,,49.03946832,,6.893084785,1,11.23712367,,49.65740084,,5.153411059
WH1,WH1B,1,8.396972656,,48.83420181,,6.782148838,1,11.82800007,,50.41902924,,4.971061348
WH2,WH2B,1,10.23284626,,51.25650787,,5.841421255,1,10.84861946,,51.56336212,,5.542844733
WH3,WH3B,1,10.62882878,,45.27077949,,4.967049899,1,11.54242499,,47.504859,,4.799620884
WH4,WH4B,1,9.141055531,,47.37042714,,6.043338424,1,10.00316037,,47.6221184,,5.551846378
WH5,WH5B,1,8.984161976,,52.39908244,,6.801615393,1,11.39938404,,48.81613194,,4.993993131
WH6,WH6B,3,9.830489515,0.370783546,49.60992069,0.567771703,5.88963285,1,10.70814757,,49.3806343,,5.377844967
WH7,WH7B,1,10.66047934,,48.63582308,,5.320414872,3,10.90091112,0.333530592,50.45344161,2.370230615,5.395691608
WH8,WH8B,1,10.21721446,,54.59940196,,6.231912375,1,12.45674108,,61.26001374,,5.735068559
WH9,WH9B,3,8.86664823,0.171032916,50.05476694,1.105127299,6.583819868,1,12.02135324,,60.65200783,,5.883798419
