branch_code,time_block,tree,treatment,arachnids,lepidoptera,diptera,coleoptera,hymenoptera,hemiptera,aquatics,gastropods,orthopterids
BB2C,1,Black Birch,control,3,0,0,2,0,5,1,0,0
BY2B,1,Barberry,bag,11,0,1,0,0,1,0,0,0
HS3C,1,Honeysuckle,control,2,1,2,0,1,3,0,0,1
SM3B,1,Striped Maple,bag,13,1,0,1,0,10,1,0,0
AO5B,1,Autumn Olive,bag,7,2,2,15,0,42,2,0,1
SM6B,1,Striped Maple,bag,13,0,2,5,2,19,0,0,0
SM5C,1,Striped Maple,control,4,0,1,4,1,40,0,0,0
BY5B,1,Barberry,bag,16,2,0,0,1,30,0,0,1
WH6B,1,Witch-hazel,bag,12,1,3,1,0,5,0,0,2
BC3C,1,Black Cherry,control,1,0,1,1,4,67,0,0,0
BC1C,1,Black Cherry,control,1,1,2,0,1,7,0,0,2
MW6C,1,Musclewood,control,2,1,1,2,2,5,0,0,1
WE3B,1,Burning Bush,bag,7,0,20,5,0,3,3,0,0
AB2C,1,Beech,control,199,0,1,0,2,1,2,0,0
BB4B,1,Black Birch,bag,11,0,4,7,6,3,6,0,0
AB12B,1,Beech,bag,5,1,2,1,1,8,1,0,0
HS6B,1,Honeysuckle,bag,10,1,2,4,0,2,0,0,0
WE3C,1,Burning Bush,control,14,0,14,6,0,1,0,0,0
AB12C,1,Beech,control,3,0,1,1,0,8,1,0,1
BC1B,1,Black Cherry,bag,4,0,5,4,3,7,3,0,2
WE2B,1,Burning Bush,bag,9,2,1,9,2,3,2,0,0
WH5C,1,Witch-hazel,control,3,0,0,1,1,2,0,0,1
HS6C,1,Honeysuckle,control,1,0,3,1,1,1,0,0,0
BC3B,1,Black Cherry,bag,5,0,2,3,1,5,1,0,0
AB2B,1,Beech,bag,5,4,4,7,2,2,1,0,0
BB4C,1,Black Birch,control,2,1,0,0,3,1,1,0,0
AO5C,1,Autumn Olive,control,5,0,2,9,0,50,0,0,0
HS5C,1,Honeysuckle,control,9,1,1,5,2,15,0,0,0
BY5C,1,Barberry,control,6,0,0,0,1,7,0,0,0
HS5B,1,Honeysuckle,bag,13,2,11,0,1,20,0,0,1
BY4B,1,Barberry,bag,10,0,1,2,1,6,0,0,0
WH5B,1,Witch-hazel,bag,17,1,0,3,4,5,0,0,1
AO4C,1,Autumn Olive,control,10,1,7,7,0,33,0,0,0
SM6C,1,Striped Maple,control,3,0,0,2,0,7,1,0,0
AO4B,1,Autumn Olive,bag,3,1,6,21,1,47,0,0,0
SM5B,1,Striped Maple,bag,3,0,0,4,0,19,0,0,2
MW5B,1,Musclewood,bag,15,4,0,6,13,13,2,0,0
BB3C,1,Black Birch,control,2,3,1,8,0,26,3,0,0
BB3B,1,Black Birch,bag,6,1,2,5,2,22,0,0,1
WH6C,1,Witch-hazel,control,5,2,0,0,3,3,0,0,0
BY4C,1,Barberry,control,1,0,0,0,1,16,0,0,0
MW5C,1,Musclewood,control,8,1,1,3,3,26,0,0,0
MW6B,1,Musclewood,bag,13,1,1,3,1,12,1,0,0
WE2C,1,Burning Bush,control,10,0,0,6,0,0,0,0,0
AO7C,1,Autumn Olive,control,3,1,1,0,0,2,2,0,1
BY9C,1,Barberry,control,10,0,0,2,0,8,0,0,0
WE5C,1,Burning Bush,control,7,0,1,3,2,5,0,0,0
WE5B,1,Burning Bush,bag,8,0,0,2,1,6,0,0,0
HS7B,1,Honeysuckle,bag,8,0,4,0,1,2,0,0,1
BY3C,1,Barberry,control,6,1,0,3,0,5,0,0,0
WH7C,1,Witch-hazel,control,1,0,0,3,0,1,0,0,0
WH7B,1,Witch-hazel,bag,17,0,4,3,0,1,0,0,0
BY3B,1,Barberry,bag,7,0,0,0,0,4,0,0,0
HS8C,1,Honeysuckle,control,5,2,0,0,0,5,0,0,1
MW7B,1,Musclewood,bag,9,1,1,10,1,6,0,0,0
WE4C,1,Burning Bush,control,2,0,0,3,0,7,1,0,1
WE4B,1,Burning Bush,bag,5,1,3,0,1,14,2,1,0
MW7C,1,Musclewood,control,2,0,1,0,0,15,0,0,0
HS7C,1,Honeysuckle,control,4,0,3,1,0,2,0,0,0
AO6B,1,Autumn Olive,bag,1,2,3,13,0,0,0,0,0
AO7B,1,Autumn Olive,bag,4,1,1,9,0,3,4,2,1
BY9B,1,Barberry,bag,18,0,1,2,1,8,0,0,0
HS8B,1,Honeysuckle,bag,7,0,0,2,2,2,1,1,0
AO6C,1,Autumn Olive,control,2,0,0,3,0,0,1,0,0
MW8C,1,Musclewood,control,1,0,0,2,3,83,3,0,1
WH8C,1,Witch-hazel,control,1,3,0,3,0,2,6,0,1
BB6C,1,Black Birch,control,2,0,2,1,0,0,0,0,1
SM7B,1,Striped Maple,bag,6,1,3,2,1,1,3,0,2
AB3B,1,Beech,bag,4,2,0,2,0,4,2,0,0
SM7C,1,Striped Maple,control,1,1,1,5,0,3,8,0,0
BC8B,1,Black Cherry,bag,0,5,0,10,0,10,0,0,3
AB3C,1,Beech,control,1,0,1,1,0,5,2,0,0
BB5C,1,Black Birch,control,0,0,1,0,0,2,3,0,1
SM8C,1,Striped Maple,control,2,0,2,1,1,4,0,0,0
AB4B,1,Beech,bag,2,1,0,1,0,3,0,0,0
BC2C,1,Black Cherry,control,0,2,0,1,2,1,0,0,0
MW8B,1,Musclewood,bag,2,0,0,2,2,23,1,0,1
BB5B,1,Black Birch,bag,4,1,1,5,1,3,7,0,0
BB6B,1,Black Birch,bag,2,1,1,1,1,4,1,0,1
SM8B,1,Striped Maple,bag,1,0,0,3,1,5,3,0,0
BC2B,1,Black Cherry,bag,3,2,0,1,1,5,1,0,2
AB4C,1,Beech,control,1,1,2,1,0,3,1,0,1
BC8C,1,Black Cherry,control,3,1,0,0,0,2,1,0,2
WH8B,1,Witch-hazel,bag,3,1,2,0,0,2,1,0,1
HS9C,1,Honeysuckle,control,3,0,1,1,2,4,1,0,2
MW9B,1,Musclewood,bag,6,0,1,2,1,0,1,0,0
BY10B,1,Barberry,bag,15,0,1,4,1,12,2,0,0
WE6B,1,Burning Bush,bag,13,2,0,1,0,8,0,0,0
SM10B,1,Striped Maple,bag,6,1,1,2,1,2,1,0,0
BB7B,1,Black Birch,bag,5,2,0,1,0,4,0,1,1
WH9C,1,Witch-hazel,control,5,2,0,4,0,1,0,0,0
BY10C,1,Barberry,control,13,0,0,1,1,2,0,0,0
BB7C,1,Black Birch,control,1,0,0,5,0,7,0,0,0
AO9B,1,Autumn Olive,bag,7,0,0,9,2,2,1,0,1
AO10B,1,Autumn Olive,bag,15,3,1,14,27,3,0,0,0
HS10B,1,Honeysuckle,bag,7,0,0,1,3,6,0,0,1
SM10C,1,Striped Maple,control,7,0,1,0,2,5,0,0,0
BC9B,1,Black Cherry,bag,5,0,1,1,0,5,1,0,0
MW10B,1,Musclewood,bag,3,5,0,9,0,10,7,0,0
WH10B,1,Witch-hazel,bag,13,2,1,5,0,0,1,0,0
AB5B,1,Beech,bag,3,2,1,3,0,2,0,0,0
BC9C,1,Black Cherry,control,2,1,0,1,0,15,0,0,0
HS9B,1,Honeysuckle,bag,8,1,0,13,0,12,0,0,0
AO9C,1,Autumn Olive,control,0,3,3,15,15,104,0,0,0
SM9B,1,Striped Maple,bag,8,0,2,7,1,3,1,0,0
AB6B,1,Beech,bag,8,0,3,2,0,4,0,0,2
WE10B,1,Burning Bush,bag,3,1,0,2,1,0,3,0,0
WE6C,1,Burning Bush,control,16,2,0,2,0,1,0,0,0
WH9B,1,Witch-hazel,bag,6,0,0,4,1,1,0,0,2
BY8C,1,Barberry,control,5,2,1,2,0,1,0,0,2
BB8B,1,Black Birch,bag,2,0,2,3,0,0,0,0,0
BY8B,1,Barberry,bag,30,1,0,4,1,10,0,0,0
BB8C,1,Black Birch,control,1,0,1,2,2,1,0,0,0
AB5C,1,Beech,control,0,0,1,3,1,0,0,0,0
MW10C,1,Musclewood,control,2,1,0,13,0,4,1,0,0
BC10B,1,Black Cherry,bag,8,1,13,1,3,58,0,0,0
AO10C,1,Autumn Olive,control,1,0,2,1,2,3,0,0,0
MW9C,1,Musclewood,control,1,1,2,3,1,2,1,0,2
BC10C,1,Black Cherry,control,4,1,1,2,1,3,0,0,2
HS10C,1,Honeysuckle,control,3,0,0,1,10,8,0,0,1
AB6C,1,Beech,control,1,1,0,5,0,0,0,0,0
SM9C,1,Striped Maple,control,1,0,0,1,1,2,0,0,0
WE10C,1,Burning Bush,control,6,0,2,2,0,1,1,0,1
WH10C,1,Witch-hazel,control,1,0,0,1,0,2,0,0,0
MW12B,1,Musclewood,bag,5,0,0,7,0,10,4,0,0
WE12B,1,Burning Bush,bag,33,2,0,2,2,7,1,0,0
AO12C,1,Autumn Olive,control,6,0,0,4,2,3,0,0,0
BC11B,1,Black Cherry,bag,3,0,1,1,4,9,0,0,1
SM12C,1,Striped Maple,control,2,2,0,0,11,1,0,0,1
HS12C,1,Honeysuckle,control,1,0,0,0,5,3,0,3,0
WE12C,1,Burning Bush,control,9,1,1,1,1,2,0,0,0
HS11C,1,Honeysuckle,control,22,0,1,3,0,20,0,0,0
SM12B,1,Striped Maple,bag,6,1,2,3,0,5,0,0,1
BB9B,1,Black Birch,bag,4,2,1,2,1,2,0,0,0
AO11B,1,Autumn Olive,bag,25,0,1,3,1,3,3,0,1
AO12B,1,Autumn Olive,bag,9,0,1,20,0,5,0,0,0
HS12B,1,Honeysuckle,bag,8,1,0,1,7,9,0,33,0
WH11B,1,Witch-hazel,bag,9,0,0,3,1,0,0,0,1
AB8C,1,Beech,control,1,0,0,0,0,1,0,0,0
AB7C,1,Beech,control,0,0,1,1,0,1,0,0,0
MW12C,1,Musclewood,control,7,1,0,4,1,18,1,0,1
AB8B,1,Beech,bag,4,2,0,0,0,2,0,1,0
BY12C,1,Barberry,control,11,0,0,0,0,0,0,1,0
WE11B,1,Burning Bush,bag,7,1,0,0,1,2,1,1,0
BB10B,1,Black Birch,bag,1,1,1,5,1,1,0,0,1
WE11C,1,Burning Bush,control,13,0,0,1,6,15,4,0,2
MW11B,1,Musclewood,bag,4,1,0,0,2,0,2,0,1
BC11C,1,Black Cherry,control,2,0,0,5,1,4,0,0,1
AB7B,1,Beech,bag,8,3,0,2,1,4,0,0,0
WH11C,1,Witch-hazel,control,1,1,0,4,0,1,0,0,1
MW11C,1,Musclewood,control,1,2,0,3,1,2,2,0,0
SM11C,1,Striped Maple,control,0,0,0,2,1,1,0,0,0
BB9C,1,Black Birch,control,0,0,0,0,0,2,0,0,0
BY11B,1,Barberry,bag,16,1,0,1,2,7,1,0,0
BY12B,1,Barberry,bag,5,0,1,0,0,2,0,5,0
WH12C,1,Witch-hazel,control,1,2,0,1,0,0,0,0,2
BC12B,1,Black Cherry,bag,3,2,0,0,0,0,0,0,0
BB10C,1,Black Birch,control,0,0,0,0,0,0,0,0,1
WH12B,1,Witch-hazel,bag,4,2,0,1,0,3,0,0,0
SM11B,1,Striped Maple,bag,6,0,1,3,1,2,0,0,1
AO11C,1,Autumn Olive,control,0,0,1,2,1,1,2,0,0
BC12C,1,Black Cherry,control,1,0,0,1,2,0,0,0,0
BY11C,1,Barberry,control,8,0,0,0,1,0,2,0,0
HS11B,1,Honeysuckle,bag,13,2,0,4,1,7,0,0,0
MW1B,2,Musclewood,bag,14,0,2,3,0,4,0,0,1
BB11B,2,Black Birch,bag,16,0,0,4,1,2,0,0,0
BB12B,2,Black Birch,bag,12,1,0,2,1,8,1,0,0
BB12C,2,Black Birch,control,5,0,0,3,2,6,0,0,0
MW2C,2,Musclewood,control,3,1,0,2,2,2,0,0,0
SM1B,2,Striped Maple,bag,15,1,0,1,0,1,0,0,0
AB9B,2,Beech,bag,25,1,0,1,0,3,0,0,1
BC4B,2,Black Cherry,bag,5,0,0,3,6,63,0,0,0
SM2B,2,Striped Maple,bag,12,2,1,4,0,5,1,0,2
HS2B,2,Honeysuckle,bag,8,1,1,3,4,9,0,0,0
WH4C,2,Witch-hazel,control,6,0,1,9,0,13,2,0,1
HS1B,2,Honeysuckle,bag,6,0,0,18,8,6,0,0,0
WH3C,2,Witch-hazel,control,9,0,1,6,0,3,2,0,1
MW1C,2,Musclewood,control,10,0,0,4,3,9,0,0,0
WH3B,2,Witch-hazel,bag,8,1,0,0,0,0,0,0,0
WH4B,2,Witch-hazel,bag,9,1,0,5,0,5,1,0,0
WE1B,2,Burning Bush,bag,10,0,0,9,1,3,1,0,0
BY7B,2,Barberry,bag,4,0,0,1,3,2,0,0,0
BB11C,2,Black Birch,control,2,1,0,6,0,6,0,0,0
AO1C,2,Autumn Olive,control,6,1,0,6,0,4,1,0,2
HS1C,2,Honeysuckle,control,9,1,0,5,1,6,0,0,0
HS2C,2,Honeysuckle,control,7,0,0,2,3,3,0,0,0
WE1C,2,Burning Bush,control,9,0,0,2,1,1,0,0,0
AB9C,2,Beech,control,3,0,0,5,1,6,1,0,0
BY6C,2,Barberry,control,23,0,0,6,2,1,0,0,0
BY6B,2,Barberry,bag,22,2,0,0,1,1,1,0,0
BY7C,2,Barberry,control,2,0,0,3,1,1,0,0,0
MW2B,2,Musclewood,bag,9,1,1,1,1,6,0,0,0
AB1C,2,Beech,control,4,0,1,6,0,6,1,0,1
AB1B,2,Beech,bag,5,0,0,2,0,1,0,0,1
WE9B,2,Burning Bush,bag,8,0,0,0,0,2,4,0,1
WE9C,2,Burning Bush,control,2,1,0,0,1,1,1,0,0
SM1C,2,Striped Maple,control,3,0,2,0,1,1,0,0,0
SM2C,2,Striped Maple,control,2,1,0,0,2,1,1,0,0
AO8C,2,Autumn Olive,control,5,0,1,11,0,5,0,0,0
BC5C,2,Black Cherry,control,5,0,0,1,1,0,0,0,0
AO8B,2,Autumn Olive,bag,9,0,0,2,0,5,0,0,0
BC4C,2,Black Cherry,control,3,0,0,1,0,304,0,0,0
BC5B,2,Black Cherry,bag,6,2,0,1,1,0,0,0,0
AO1B,2,Autumn Olive,bag,9,0,0,9,2,2,1,0,0
HS4C,2,Honeysuckle,control,8,0,0,0,1,1,0,0,1
AB11B,2,Beech,bag,6,1,0,3,0,3,1,0,0
BB1B,2,Black Birch,bag,15,0,0,10,1,49,0,0,3
BB2B,2,Black Birch,bag,2,1,0,1,0,1,0,0,0
AB10C,2,Beech,control,2,0,0,2,0,0,0,0,0
AO2C,2,Autumn Olive,control,3,0,0,0,0,5,0,0,1
BC6B,2,Black Cherry,bag,4,0,0,1,1,1,0,0,0
BC6C,2,Black Cherry,control,3,0,0,0,1,5,0,0,0
AB11C,2,Beech,control,3,0,0,1,0,5,0,0,0
BB2C,2,Black Birch,control,2,0,0,2,3,0,0,0,0
SM4C,2,Striped Maple,control,5,0,0,1,0,4,0,0,1
BB1C,2,Black Birch,control,5,0,1,2,2,5,0,0,0
WH2C,2,Witch-hazel,control,5,0,0,1,3,2,0,0,1
WH1C,2,Witch-hazel,control,7,0,0,1,2,3,0,0,0
MW4C,2,Musclewood,control,9,0,0,2,0,3,3,0,0
SM3B,2,Striped Maple,bag,7,0,0,0,0,1,0,0,0
AO2B,2,Autumn Olive,bag,2,0,0,2,0,0,0,0,1
SM4B,2,Striped Maple,bag,17,1,0,0,2,6,0,0,0
WE8C,2,Burning Bush,control,3,1,0,1,0,3,0,0,1
AO3B,2,Autumn Olive,bag,9,0,2,3,1,0,0,0,0
HS4B,2,Honeysuckle,bag,9,1,1,0,1,1,4,0,0
BY1B,2,Barberry,bag,7,4,0,0,0,5,0,2,1
AO3C,2,Autumn Olive,control,2,0,1,4,0,1,0,0,0
MW3C,2,Musclewood,control,6,2,1,2,1,2,0,0,0
WE8B,2,Burning Bush,bag,9,1,0,1,0,3,0,0,0
WH1B,2,Witch-hazel,bag,13,3,2,1,1,3,0,0,1
WE7C,2,Burning Bush,control,6,0,1,2,0,1,0,0,0
SM3C,2,Striped Maple,control,2,1,0,1,1,1,0,0,0
MW3B,2,Musclewood,bag,4,1,0,1,0,1,1,0,0
AB10B,2,Beech,bag,10,1,1,1,1,5,0,0,1
WH2B,2,Witch-hazel,bag,9,0,2,2,1,1,0,0,0
HS3B,2,Honeysuckle,bag,4,0,0,1,0,4,0,1,0
MW4B,2,Musclewood,bag,11,1,1,2,0,3,1,0,0
WE7B,2,Burning Bush,bag,3,2,0,3,0,0,0,0,0
HS3C,2,Honeysuckle,control,3,1,2,0,0,1,0,0,1
BY2B,2,Barberry,bag,11,2,1,0,0,3,1,0,0
BY2C,2,Barberry,control,1,1,0,1,0,3,1,4,0
BC7B,2,Black Cherry,bag,6,3,0,1,0,4,0,0,0
BC7C,2,Black Cherry,control,3,0,0,1,0,3,0,0,0
BY1C,2,Barberry,control,5,0,0,0,1,1,0,0,0
SM5C,2,Striped Maple,control,2,2,0,5,15,23,0,0,0
AB2C,2,Beech,control,4,0,7,1,3,0,0,0,1
AB12B,2,Beech,bag,4,0,0,6,1,4,1,0,0
AB12C,2,Beech,control,4,0,0,3,0,4,0,0,0
AB2B,2,Beech,bag,4,1,2,1,4,1,2,0,0
AO4C,2,Autumn Olive,control,3,0,0,0,1,6,0,0,0
SM6C,2,Striped Maple,control,5,0,0,5,1,1,1,0,0
BB4C,2,Black Birch,control,1,0,4,6,4,2,2,0,1
BB4B,2,Black Birch,bag,5,1,0,5,5,0,3,0,0
BY5B,2,Barberry,bag,7,2,2,1,1,6,0,0,0
BY5C,2,Barberry,control,9,0,1,2,3,0,0,0,0
WH5C,2,Witch-hazel,control,12,0,0,3,2,2,0,0,0
AO4B,2,Autumn Olive,bag,9,2,1,5,0,12,0,0,0
SM5B,2,Striped Maple,bag,7,2,0,3,1,11,0,0,0
BB3C,2,Black Birch,control,3,0,0,3,5,17,0,0,0
WH5B,2,Witch-hazel,bag,10,0,1,9,1,8,0,0,0
SM6B,2,Striped Maple,bag,21,1,0,4,0,5,0,0,0
MW6C,2,Musclewood,control,5,1,2,4,0,5,0,0,0
BB3B,2,Black Birch,bag,14,0,1,10,0,6,0,0,0
AO5B,2,Autumn Olive,bag,11,2,1,1,0,3,0,0,2
BC1C,2,Black Cherry,control,1,0,0,2,3,4,0,0,0
MW5C,2,Musclewood,control,6,1,1,0,0,8,0,0,0
AO5C,2,Autumn Olive,control,4,0,2,0,0,5,0,0,0
BC3B,2,Black Cherry,bag,4,0,1,1,1,5,0,0,0
BC1B,2,Black Cherry,bag,3,1,0,2,4,5,0,0,0
WH6C,2,Witch-hazel,control,7,1,0,0,1,12,0,0,0
WE2B,2,Burning Bush,bag,10,0,0,4,0,8,1,0,0
HS6C,2,Honeysuckle,control,13,0,3,0,0,8,0,0,0
HS5B,2,Honeysuckle,bag,11,0,4,1,1,11,0,0,0
WE2C,2,Burning Bush,control,7,3,2,3,0,1,0,0,0
HS5C,2,Honeysuckle,control,12,0,0,2,0,4,0,0,1
BY4C,2,Barberry,control,5,3,1,0,1,6,0,0,0
WE3B,2,Burning Bush,bag,7,0,0,0,1,1,0,0,4
WH6B,2,Witch-hazel,bag,10,0,0,2,1,4,0,0,0
BC3C,2,Black Cherry,control,4,1,0,0,1,14,0,0,0
WE3C,2,Burning Bush,control,8,0,3,3,0,6,0,0,2
MW6B,2,Musclewood,bag,13,0,0,5,3,3,0,0,0
BY4B,2,Barberry,bag,6,2,1,0,1,1,1,0,0
HS6B,2,Honeysuckle,bag,13,1,0,3,0,3,0,0,1
MW5B,2,Musclewood,bag,11,0,0,5,2,8,2,0,1
WE5B,2,Burning Bush,bag,9,0,1,7,0,1,1,0,2
BB6B,2,Black Birch,bag,7,1,0,0,5,2,0,0,1
SM8C,2,Striped Maple,control,3,0,0,3,2,2,1,0,1
WE5C,2,Burning Bush,control,10,0,2,3,0,4,0,0,0
WH8B,2,Witch-hazel,bag,2,1,0,10,1,0,0,0,0
BB5C,2,Black Birch,control,4,0,0,5,4,6,4,0,0
BC2C,2,Black Cherry,control,1,0,0,0,1,12,0,0,0
AB4C,2,Beech,control,1,0,0,0,0,3,0,0,0
AB4B,2,Beech,bag,5,0,0,2,0,0,0,0,1
MW8C,2,Musclewood,control,2,2,1,9,0,13,1,0,1
SM8B,2,Striped Maple,bag,8,0,2,3,3,3,0,0,0
AO7B,2,Autumn Olive,bag,13,0,0,7,1,3,0,0,0
AO7C,2,Autumn Olive,control,2,0,1,2,1,0,0,0,0
BC2B,2,Black Cherry,bag,1,0,0,4,3,9,0,0,2
BC8B,2,Black Cherry,bag,3,2,2,2,1,2,0,0,1
AB3C,2,Beech,control,2,0,1,1,1,3,1,0,1
MW7C,2,Musclewood,control,8,1,2,4,0,4,0,0,0
WH7B,2,Witch-hazel,bag,25,2,1,5,1,6,0,0,0
AO6C,2,Autumn Olive,control,1,0,1,1,0,1,0,0,1
BY9B,2,Barberry,bag,11,1,3,2,1,14,0,0,0
AO6B,2,Autumn Olive,bag,2,2,1,2,0,4,0,0,0
MW7B,2,Musclewood,bag,13,0,1,1,1,8,0,0,0
HS7C,2,Honeysuckle,control,12,0,0,4,1,8,0,0,2
HS8B,2,Honeysuckle,bag,11,0,0,1,4,3,0,0,1
BY3B,2,Barberry,bag,9,0,1,1,3,4,0,0,0
WE4B,2,Burning Bush,bag,8,0,0,1,5,7,0,0,4
BY9C,2,Barberry,control,5,1,3,1,0,6,1,0,2
HS7B,2,Honeysuckle,bag,12,1,1,1,1,7,0,0,0
HS8C,2,Honeysuckle,control,6,0,2,2,0,3,0,0,1
BB6C,2,Black Birch,control,3,2,0,1,13,1,0,0,0
WE4C,2,Burning Bush,control,1,0,1,1,3,6,0,0,0
BB5B,2,Black Birch,bag,7,0,0,10,1,0,0,0,0
WH8C,2,Witch-hazel,control,2,1,2,7,6,1,1,0,0
WH7C,2,Witch-hazel,control,10,0,0,4,1,20,0,0,2
BC8C,2,Black Cherry,control,1,0,1,0,0,2,0,0,0
MW8B,2,Musclewood,bag,4,0,0,3,0,6,1,0,0
SM7C,2,Striped Maple,control,0,2,3,3,2,0,1,0,0
AB3B,2,Beech,bag,4,2,2,2,1,2,0,0,0
BY3C,2,Barberry,control,7,4,2,0,1,4,1,0,0
SM7B,2,Striped Maple,bag,6,1,5,5,0,0,1,0,1
BY10B,2,Barberry,bag,8,0,0,0,0,11,0,0,0
BY10C,2,Barberry,control,4,0,0,0,1,1,0,0,0
SM10C,2,Striped Maple,control,3,0,0,2,1,1,0,0,0
WE10C,2,Burning Bush,control,3,0,0,4,0,2,0,0,0
BC9C,2,Black Cherry,control,1,2,0,4,1,12,0,0,0
WE10B,2,Burning Bush,bag,9,0,0,6,0,0,0,0,0
