"","branch_code","time_block","tree","treatment","date.x","bug_count","morphospecies","wet_mass_g","exo","X","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","guild","date.y","gastropod_biomass","ï..tree_id","herbivore_reps","herbivore_average_n","herbivore_stdev_n","herbivore_average_c","herbivore_stdev_c","herbivore_average_ratio","spider_reps","spider_average_n","spider_stdev_n","spider_average_c","spider_stdev_c","spider_average_ratio"
"16","HS1B",1,"Honeysuckle","bag","24-May",31,27,0.1174,"Non-native",16,6,0,4,7,3,7,0,0,0,6,NA,0,"HS1",1,9.184773282,NA,55.93798811,NA,7.102387501,1,9.910452598,NA,48.93500921,NA,5.758271627
"17","MW2C",1,"Musclewood","control","24-May",23,15,0.0364,"Native",17,3,2,1,8,2,6,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BC4B",1,"Shadbush","bag","24-May",15,14,0.0202,"Native",18,5,0,1,2,1,2,0,0,1,5,NA,0,"BC4",1,8.690612793,NA,51.0493927,NA,6.850245579,1,10.759902,NA,50.66631699,NA,5.491322899
"19","AO1C",1,"Autumn Olive","control","24-May",48,19,0.0358,"Non-native",19,7,1,3,4,2,7,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AO1B",1,"Autumn Olive","bag","24-May",50,28,0.2909,"Non-native",20,6,1,9,5,3,20,1,0,0,6,NA,0,"AO1",1,11.39277363,NA,47.74710464,NA,4.887463588,1,10.94629574,NA,49.36320496,NA,5.258987436
"21","WE1B",1,"Burning Bush","bag","24-May",29,20,0.1176,"Non-native",21,7,0,4,11,3,1,0,0,0,7,NA,0,"WE1",1,8.803438146,NA,44.76405443,NA,5.929841151,1,9.968340754,NA,50.13165252,NA,5.864825666
"22","BB12B",1,"Sweet Birch","bag","24-May",22,14,0.113,"Native",22,5,0,0,5,0,5,0,0,0,5,NA,0,"BB12",1,9.829208018,NA,48.20688904,NA,5.719479942,1,10.71794764,NA,52.58444569,NA,5.721522771
"23","WH3C",1,"Witch-hazel","control","24-May",32,22,0.1082,"Native",23,3,0,2,13,8,1,2,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BC4C",1,"Shadbush","control","24-May",26,9,0.1968,"Native",24,1,1,0,1,2,8,0,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","SM2B",1,"Striped Maple","bag","24-May",52,26,0.0866,"Native",25,9,1,3,13,10,6,3,0,3,9,NA,0,"SM2",1,9.357991219,NA,48.10120773,NA,5.994311521,1,11.14865017,NA,50.25952148,NA,5.257291078
"26","SM2C",1,"Striped Maple","control","24-May",13,8,0.0248,"Native",26,1,0,1,6,1,3,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WH4C",1,"Witch-hazel","control","24-May",17,11,0.0162,"Native",27,5,1,0,1,4,0,5,0,1,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","AO8C",1,"Autumn Olive","control","24-May",14,11,0.0309,"Non-native",28,7,1,0,1,0,2,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","WE1C",1,"Burning Bush","control","24-May",30,12,0.0471,"Non-native",29,2,0,1,5,14,1,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","WE9C",1,"Burning Bush","control","24-May",16,14,0.0884,"Non-native",30,7,0,0,2,3,3,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","WH3B",1,"Witch-hazel","bag","24-May",22,12,0.0706,"Native",31,5,1,0,10,3,1,0,0,0,5,NA,0,"WH3",1,10.62882878,NA,45.27077949,NA,4.967049899,1,11.54242499,NA,47.504859,NA,4.799620884
"32","MW1C",1,"Musclewood","control","24-May",57,19,0.0859,"Native",32,6,1,1,10,7,29,0,0,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","WE9B",1,"Burning Bush","bag","24-May",32,17,0.071,"Non-native",33,11,1,0,1,15,1,2,0,0,11,NA,0,"WE9",1,12.76948903,NA,54.89088794,NA,5.012942216,1,11.79298779,NA,53.3188263,NA,5.27257412
"34","AB1B",1,"Beech","bag","24-May",12,10,0.0276,"Native",34,3,1,1,2,1,0,2,0,0,3,NA,0,"AB1",1,8.903213501,NA,50.64284897,NA,6.633417056,1,10.29442883,NA,48.50837326,NA,5.495160949
"35","AB1C",1,"Beech","control","24-May",12,11,0.0294,"Native",35,6,0,0,4,0,2,0,0,0,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","AO8B",1,"Autumn Olive","bag","24-May",17,12,0.0129,"Non-native",36,3,0,0,2,8,1,2,0,0,3,NA,0,"AO8",3,11.18529714,0.097163085,50.88238196,1.592060563,5.305851567,1,10.76586458,NA,48.06524605,NA,5.206528126
"37","MW1B",1,"Musclewood","bag","24-May",82,24,0.1542,"Native",37,12,1,1,24,2,34,4,0,3,12,NA,0,"MW1",1,10.05731773,NA,51.27178192,NA,5.945141591,1,9.864388544,NA,49.7790778,NA,5.884948115
"38","MW2B",1,"Musclewood","bag","24-May",32,18,0.0201,"Native",38,10,1,2,6,3,8,0,0,0,10,NA,0,"MW2",1,9.890742302,NA,54.95200729,NA,6.479188811,1,9.774047966,NA,54.12137901,NA,6.457439553
"39","WH1C",1,"Witch-hazel","control","26-May",15,9,0.0243,"Native",39,1,0,1,2,8,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","BB1B",1,"Sweet Birch","bag","26-May",30,12,0.786,"Native",40,12,0,1,1,1,15,0,0,0,12,NA,0,"BB1",1,10.47508377,NA,50.01286579,NA,5.567884242,1,10.08292354,NA,51.99971721,NA,6.014236051
"41","WH1B",1,"Witch-hazel","bag","26-May",25,18,0.0726,"Native",41,11,0,3,4,1,4,2,0,0,11,NA,0,"WH1",1,8.396972656,NA,48.83420181,NA,6.782148838,1,11.82800007,NA,50.41902924,NA,4.971061348
"42","WH2B",1,"Witch-hazel","bag","26-May",31,12,0.0645,"Native",42,5,1,5,9,1,7,0,0,0,5,NA,0,"WH2",1,10.23284626,NA,51.25650787,NA,5.841421255,1,10.84861946,NA,51.56336212,NA,5.542844733
"43","AO3C",1,"Autumn Olive","control","26-May",12,8,0.0133,"Non-native",43,3,1,0,4,1,1,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","MW4B",1,"Musclewood","bag","26-May",24,17,0.0763,"Native",44,5,0,3,7,2,3,2,0,0,5,NA,0,"MW4",1,9.334521371,NA,53.69241185,NA,6.707903716,3,10.84195415,0.5209436,51.44277794,1.659535071,5.546130918
"45","MW3B",1,"Musclewood","bag","26-May",9,8,0.0154,"Native",45,4,0,0,3,0,1,2,0,0,4,NA,0,"MW3",3,11.55615999,0.276564461,46.87393064,0.625476745,4.731652892,1,11.80946166,NA,47.49601431,NA,4.690217988
"46","AB10C",1,"Beech","control","26-May",11,11,0.0427,"Native",46,2,1,0,3,0,2,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","MW4C",1,"Musclewood","control","26-May",25,19,0.0964,"Native",47,5,1,2,8,4,3,2,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","AB10B",1,"Beech","bag","26-May",17,9,0.0209,"Native",48,3,1,1,1,2,8,0,0,0,3,NA,0,"AB10",3,10.23797456,0.249553673,49.91558159,1.18946715,5.688988828,1,12.58969295,NA,52.02617199,NA,4.819174983
"49","AO2C",1,"Autumn Olive","control","26-May",22,12,0.0498,"Non-native",49,5,0,2,3,1,10,0,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","BB2B",1,"Sweet Birch","bag","26-May",21,10,0.0798,"Native",50,2,0,1,4,3,7,1,0,0,2,NA,0,"BB2",1,8.192221124,NA,46.40272504,NA,6.6055317,1,11.24591637,NA,47.98534775,NA,4.975992977
"51","WE7B",1,"Burning Bush","bag","26-May",25,16,0.0345,"Non-native",51,9,2,2,4,0,2,0,0,0,9,NA,0,"WE7",1,7.61567975,NA,48.62619465,NA,7.446077855,1,10.67433417,NA,51.53737606,NA,5.630506578
"52","HS4B",1,"Honeysuckle","bag","26-May",21,17,0.1471,"Non-native",52,10,1,1,0,1,5,2,0,0,10,NA,0,"HS4",3,11.45333131,0.550549246,52.9004364,0.771772614,5.392578494,1,10.40816975,NA,47.98695374,NA,5.376687265
"53","SM4B",1,"Striped Maple","bag","26-May",72,10,0.0362,"Native",53,10,0,0,3,0,57,0,0,1,10,NA,0,"SM4",1,9.707125048,NA,50.54021591,NA,6.071729711,1,10.76512848,NA,49.07008985,NA,5.315738367
"54","BY1B",1,"Barberry","bag","26-May",25,13,0.0683,"Non-native",54,8,0,3,4,2,5,0,0,0,8,NA,0,"BY1",1,10.0534153,NA,48.62870407,NA,5.640856276,1,8.650485039,NA,52.36780167,NA,7.059758508
"55","AB11B",1,"Beech","bag","26-May",12,10,0.0444,"Native",55,5,1,0,3,0,1,0,0,0,5,NA,0,"AB11",1,10.4672202,NA,47.69880092,NA,5.314251,1,12.45423816,NA,49.05986052,NA,4.593831954
"56","BB1C",1,"Sweet Birch","control","26-May",22,10,0.0337,"Native",56,2,0,5,3,0,12,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","AO3B",1,"Autumn Olive","bag","26-May",63,15,0.11,"Non-native",57,7,1,0,23,15,15,0,0,1,7,NA,0,"AO3",1,9.569042206,NA,53.90907288,NA,6.569909005,1,11.29537487,NA,51.53673172,NA,5.320864342
"58","AB11C",1,"Beech","control","26-May",9,7,0.0417,"Native",58,1,1,0,3,0,4,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","MW3C",1,"Musclewood","control","26-May",19,12,0.0486,"Native",59,3,0,0,3,2,5,0,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","WE8B",1,"Burning Bush","bag","26-May",24,14,0.0804,"Non-native",60,10,1,0,2,4,6,0,0,0,10,NA,0,"WE8",1,8.349671555,NA,48.01784521,NA,6.70655108,1,10.54659936,NA,49.3457274,NA,5.456360654
"61","HS4C",1,"Honeysuckle","control","26-May",12,10,0.0171,"Non-native",61,8,0,0,3,0,1,0,0,0,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","WE7C",1,"Burning Bush","control","26-May",14,11,0.0179,"Non-native",62,3,2,1,2,0,5,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","WE8C",1,"Burning Bush","control","26-May",21,13,0.0639,"Non-native",63,11,0,2,2,1,4,0,0,0,11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","HS3B",1,"Honeysuckle","bag","26-May",9,7,0.0677,"Non-native",64,3,2,0,1,1,1,0,0,0,3,NA,0,"HS3",1,10.85909462,NA,49.55062485,NA,5.321345775,1,10.94035244,NA,46.44218826,NA,4.95048015
"65","WH2C",1,"Witch-hazel","control","26-May",15,9,0.0332,"Native",65,3,0,2,3,3,2,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","SM4C",1,"Striped Maple","control","26-May",20,8,0.0124,"Native",66,2,0,1,0,1,14,2,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BY1C",1,"Barberry","control","26-May",29,14,0.0565,"Non-native",67,16,0,1,1,0,5,0,0,0,16,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","AO2B",1,"Autumn Olive","bag","26-May",12,8,0.0098,"Non-native",68,5,0,0,5,0,1,0,0,0,5,NA,0,"AO2",1,10.34116294,NA,52.6255938,NA,5.934629209,1,11.06716963,NA,49.58096367,NA,5.224495492
"69","BY2C",1,"Barberry","control","26-May",9,6,0.0064,"Non-native",69,4,0,0,3,0,1,0,0,0,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","SM3C",1,"Striped Maple","control","26-May",11,8,0.0572,"Native",70,2,1,0,1,1,5,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","BB2C",1,"Sweet Birch","control","26-May",12,7,0.0624,"Native",71,3,0,0,2,0,5,1,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","BY2B",1,"Barberry","bag","26-May",17,9,0.039,"Non-native",72,11,0,1,0,0,1,0,0,0,11,NA,0,"BY2",1,10.24839878,NA,45.69161606,NA,5.199319004,1,10.72968102,NA,50.68323517,NA,5.508628432
"73","HS3C",1,"Honeysuckle","control","26-May",11,10,0.0098,"Non-native",73,2,1,2,0,1,3,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","SM3B",1,"Striped Maple","bag","26-May",21,12,0.1019,"Native",74,13,1,0,1,0,10,1,0,0,13,NA,0,"SM3",1,9.712648359,NA,51.06349022,NA,6.131105536,1,11.62445452,NA,50.51038091,NA,5.067269732
"75","AO5B",1,"Autumn Olive","bag","28-May",70,21,0.3089,"Non-native",75,7,2,2,15,0,42,2,0,1,7,NA,0,"AO5",1,9.93210125,NA,49.92225266,NA,5.861638046,1,11.31602955,NA,49.68446732,NA,5.120266041
"76","SM6B",1,"Striped Maple","bag","28-May",41,12,0.0257,"Native",76,13,0,2,5,2,19,0,0,0,13,NA,0,"SM6",1,10.65548973,NA,50.95848437,NA,5.577107934,1,10.3402914,NA,49.14430836,NA,5.542509052
"77","SM5C",1,"Striped Maple","control","28-May",52,12,0.1582,"Native",77,4,0,1,4,1,40,0,0,0,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","BY5B",1,"Barberry","bag","28-May",65,21,0.3111,"Non-native",78,16,2,0,0,1,30,0,0,1,16,NA,0,"BY5",1,10.35087585,NA,49.98778534,NA,5.631871771,1,10.16550541,NA,50.47744751,NA,5.790744078
"79","WH6B",1,"Witch-hazel","bag","28-May",25,15,0.1003,"Native",79,12,1,3,1,0,5,0,0,2,12,NA,0,"WH6",3,9.830489515,0.370783546,49.60992069,0.567771703,5.88963285,1,10.70814757,NA,49.3806343,NA,5.377844967
"80","BC3C",1,"Shadbush","control","28-May",74,5,0.1221,"Native",80,1,0,1,1,4,67,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","BC1C",1,"Shadbush","control","28-May",14,6,0.0256,"Native",81,1,1,2,0,1,7,0,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","MW6C",1,"Musclewood","control","28-May",18,13,0.6196,"Native",82,2,1,1,2,2,5,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","WE3B",1,"Burning Bush","bag","28-May",38,13,0.0746,"Non-native",83,7,0,20,5,0,3,3,0,0,7,NA,0,"WE3",1,11.47123674,NA,48.6219215,NA,4.942968431,3,11.50601535,0.205200891,49.58037383,1.446053614,5.025566801
"84","AB2C",1,"Beech","control","28-May",206,8,0.0812,"Native",84,199,0,1,0,2,1,2,0,0,199,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","BB4B",1,"Sweet Birch","bag","28-May",34,13,0.1442,"Native",85,11,0,4,7,6,3,6,0,0,11,NA,0,"BB4",1,8.207028389,NA,49.54014587,NA,7.039426959,1,11.34341431,NA,52.35301971,NA,5.382250465
"86","AB12B",1,"Beech","bag","28-May",20,10,0.0427,"Native",86,5,1,2,1,1,8,1,0,0,5,NA,0,"AB12",1,10.25901919,NA,48.91669317,NA,5.560543086,1,12.12178313,NA,52.64855186,NA,5.065075017
"87","HS6B",1,"Honeysuckle","bag","28-May",19,15,0.2337,"Non-native",87,10,1,2,4,0,2,0,0,0,10,NA,0,"HS6",1,12.54843252,NA,48.48041038,NA,4.505497672,1,10.95277838,NA,50.14168659,NA,5.338762479
"88","WE3C",1,"Burning Bush","control","28-May",19,6,0.0065,"Non-native",88,14,0,14,6,0,1,0,0,0,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","AB12C",1,"Beech","control","28-May",23,12,0.0274,"Native",89,3,0,1,1,0,8,1,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","BC1B",1,"Shadbush","bag","28-May",30,17,0.1212,"Native",90,4,0,5,4,3,7,3,0,2,4,NA,0,"BC1",1,9.618085943,NA,46.98899335,NA,5.69735721,1,9.372461141,NA,40.35728801,NA,5.021509485
"91","WE2B",1,"Burning Bush","bag","28-May",32,16,0.108,"Non-native",91,9,2,1,9,2,3,2,0,0,9,NA,0,"WE2",1,9.444809914,NA,50.59381485,NA,6.246980741,1,11.19331499,NA,48.92561228,NA,5.097338861
"92","WH5C",1,"Witch-hazel","control","28-May",10,10,0.0231,"Native",92,3,0,0,1,1,2,0,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","HS6C",1,"Honeysuckle","control","28-May",7,5,0.0225,"Non-native",93,1,0,3,1,1,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","BC3B",1,"Shadbush","bag","28-May",19,13,0.0401,"Native",94,5,0,2,3,1,5,1,0,0,5,NA,0,"BC3",1,8.995114326,NA,53.07982635,NA,6.88158958,1,10.36768723,NA,50.03474808,NA,5.628022076
"95","AB2B",1,"Beech","bag","28-May",26,13,0.2071,"Native",95,5,4,4,7,2,2,1,0,0,5,NA,0,"AB2",1,9.352546775,NA,50.57327305,NA,6.306046,1,10.27233505,NA,54.3535881,NA,6.170566034
"96","BB4C",1,"Sweet Birch","control","28-May",8,6,0.4708,"Native",96,2,1,0,0,3,1,1,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","AO5C",1,"Autumn Olive","control","28-May",71,17,0.084,"Non-native",97,5,0,2,9,0,50,0,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","HS5C",1,"Honeysuckle","control","28-May",34,16,0.0676,"Non-native",98,9,1,1,5,2,15,0,0,0,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","BY5C",1,"Barberry","control","28-May",18,8,0.0092,"Non-native",99,6,0,0,0,1,7,0,0,0,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","HS5B",1,"Honeysuckle","bag","28-May",48,18,0.1986,"Non-native",100,13,2,11,0,1,20,0,0,1,13,NA,0,"HS5",1,10.74747382,NA,51.74950823,NA,5.615207288,1,11.97572223,NA,52.54792062,NA,5.117051438
"101","BY4B",1,"Barberry","bag","28-May",27,16,0.0598,"Non-native",101,10,0,1,2,1,6,0,0,0,10,NA,0,"BY4",1,7.064360142,NA,45.07918549,NA,7.44164915,1,10.2769413,NA,48.86156464,NA,5.544590232
"102","WH5B",1,"Witch-hazel","bag","28-May",35,17,0.0537,"Native",102,17,1,0,3,4,5,0,0,1,17,NA,0,"WH5",1,8.984161976,NA,52.39908244,NA,6.801615393,1,11.39938404,NA,48.81613194,NA,4.993993131
"103","AO4C",1,"Autumn Olive","control","28-May",58,18,0.1761,"Non-native",103,10,1,7,7,0,33,0,0,0,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","WE3C",1,"Burning Bush","control","28-May",17,11,0.0824,"Non-native",88,14,0,14,6,0,1,0,0,0,14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","SM6C",1,"Striped Maple","control","28-May",14,8,0.0352,"Native",104,3,0,0,2,0,7,1,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","AO4B",1,"Autumn Olive","bag","28-May",81,13,0.069,"Non-native",105,3,1,6,21,1,47,0,0,0,3,NA,0,"AO4",1,9.927257538,NA,49.55753326,NA,5.821653515,3,11.27740033,0.194430099,53.12240728,0.94723785,5.494886464
"107","SM5B",1,"Striped Maple","bag","28-May",28,8,0.0626,"Native",106,3,0,0,4,0,19,0,0,2,3,NA,0,"SM5",1,10.83768782,NA,50.08486494,NA,5.389343086,1,11.03541061,NA,53.63537367,NA,5.667986082
"108","MW5B",1,"Musclewood","bag","28-May",53,24,0.246,"Native",107,15,4,0,6,13,13,2,0,0,15,NA,0,"MW5",1,10.1103749,NA,51.24937604,NA,5.911358308,1,10.53344779,NA,51.42341216,NA,5.693198225
"109","BB3C",1,"Sweet Birch","control","28-May",49,16,0.1271,"Native",108,2,3,1,8,0,26,3,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","BB3B",1,"Sweet Birch","bag","28-May",39,15,0.8082,"Native",109,6,1,2,5,2,22,0,0,1,6,NA,0,"BB3",1,7.922075748,NA,48.6479187,NA,7.161289581,3,10.60749626,0.512090751,53.30378215,1.512825751,5.864358316
"111","WH6C",1,"Witch-hazel","control","28-May",14,11,0.2276,"Native",110,5,2,0,0,3,3,0,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","BY4C",1,"Barberry","control","28-May",21,7,0.0243,"Non-native",111,1,0,0,0,1,16,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","MW5C",1,"Musclewood","control","28-May",43,14,0.1047,"Native",112,8,1,1,3,3,26,0,0,0,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","MW6B",1,"Musclewood","bag","28-May",35,17,0.0573,"Native",113,13,1,1,3,1,12,1,0,0,13,NA,0,"MW6",1,8.055774267,NA,47.51097982,NA,6.877849373,1,11.11952909,NA,51.96914323,NA,5.450359179
"115","AO7C",1,"Autumn Olive","control","31-May",11,10,0.2314,"Non-native",115,3,1,1,0,0,2,2,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","BY9C",1,"Barberry","control","31-May",21,12,0.0601,"Non-native",116,10,0,0,2,0,8,0,0,0,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","WE5C",1,"Burning Bush","control","31-May",21,16,0.0375,"Non-native",117,7,0,1,3,2,5,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","WE5B",1,"Burning Bush","bag","31-May",18,13,0.1141,"Non-native",118,8,0,0,2,1,6,0,0,0,8,NA,0,"WE5",1,9.745838552,NA,44.60357561,NA,5.337236213,1,11.73736261,NA,48.62537648,NA,4.831237824
"119","HS7B",1,"Honeysuckle","bag","31-May",19,12,0.0666,"Non-native",119,8,0,4,0,1,2,0,0,1,8,NA,0,"HS7",1,11.26731724,NA,49.82783696,NA,5.157241561,1,11.73794987,NA,50.57771871,NA,5.024963923
